update, mean_fitness, min_fitness, max_fitness, inferiority, num_genotypes, total_orgs, ave_depth, num_roots, mrca_depth, diversity, phylogenetic_diversity, mean_pairwise_distance, mean_evolutionary_distinctiveness, min_evolutionary_distinctiveness, max_evolutionary_distinctiveness, phenotypic_richness, phenotypic_entropy, niche_width_mean, niche_width_min, niche_width_max, always_used_mean, always_used_min, always_used_max, sometimes_used_mean, sometimes_used_min, sometimes_used_max, failed_to_reproduce, num_orgs,seed,selection,sel_param
940,-8340.34,-2045810.0,0.184622,-45175.3,445,500,592.054,1,350,8.70957,121027,342.145,196.67,187,258,38,1.8068400000000002, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
950,-8260.57,-4091630.0,0.18318800000000002,-45093.5,463,500,596.694,1,350,8.807030000000001,123347,309.425,189.071,135,219,42,1.52463, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
960,-16477.3,-4091630.0,0.18587,-88649.7,447,500,603.908,1,350,8.70157,126954,353.93800000000005,207.36700000000002,132,228,43,2.13033, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
970,-67.1839,-11235.7,0.183538,-366.04900000000004,453,500,610.4580000000001,1,350,8.75654,130229,365.186,210.987,195,244,42,2.15637, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
980,-8252.76,-4091630.0,0.18296400000000002,-45105.9,449,500,617.13,1,350,8.75103,133565,348.56699999999995,213.34599999999998,161,254,35,1.6086, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
990,-8250.61,-4091630.0,0.183145,-45049.5,449,500,623.302,1,350,8.726989999999999,136651,367.603,218.81799999999998,200,269,40,1.6947, -nan,0,0, -nan,0,0, -nan,0,0,500,500,169,sharing,100
0,-4091630.0,-4091630.0,-4091630.0,1.0,336,500,0.67,1,0,6.53567,335,1.99405,0.0,0,0,4,0.23712800000000003, -nan,0,0, -nan,0,0, -nan,0,0,1,500,139,sharing,10
10,-8185.56,-584518.0,0.15613,-52428.0,468,500,7.206,1,2,8.835560000000001,2603,10.0938,3.92484,1,8,8,0.30276, -nan,0,0, -nan,0,0, -nan,0,0,500,500,139,sharing,10
20,-8291.06,-409163.0,7.1875,-1153.54,433,500,13.63,1,2,8.66773,5815,14.6312,5.24728,2,17,34,3.2019900000000003, -nan,0,0, -nan,0,0, -nan,0,0,500,500,139,sharing,10
30,-9034.94,-584518.0,17.75,-509.01099999999997,442,500,21.214000000000002,1,2,8.6903,9607,20.2864,10.1869,5,22,47,4.1039699999999995, -nan,0,0, -nan,0,0, -nan,0,0,500,500,139,sharing,10
40,-14568.1,-3191720.0,6.294230000000001,-2314.52,447,500,28.55,1,2,8.69937,13275,23.0898,13.0966,10,23,60,4.42284, -nan,0,0, -nan,0,0, -nan,0,0,500,500,139,sharing,10
50,-14572.8,-1595860.0,61.1667,-238.248,441,500,35.116,1,2,8.69055,16558,33.5717,16.4078,11,37,92,5.4937, -nan,0,0, -nan,0,0, -nan,0,0,500,500,139,sharing,10
60,-29252.5,-3691670.0,53.25,-549.3430000000001,420,500,40.134,1,14,8.57618,13067,38.73,16.3926,11,37,95,5.7298599999999995, -nan,0,0, -nan,0,0, -nan,0,0,500,500,139,sharing,10
70,-29791.6,-4008300.0,56.5,-527.285,443,500,47.282,1,14,8.69895,16641,47.3412,21.2075,16,41,106,5.9535800000000005, -nan,0,0, -nan,0,0, -nan,0,0,500,500,139,sharing,10
80,-15402.2,-3608350.0,25.5062,-603.859,441,500,53.29,1,14,8.6985,19645,55.0734,26.3692,16,44,106,6.00469, -nan,0,0, -nan,0,0, -nan,0,0,500,500,139,sharing,10
90,-35353.7,-4041630.0,55.0,-642.795,443,500,60.012,1,14,8.70675,23006,65.1298,30.7667,24,44,114,6.02211, -nan,0,0, -nan,0,0, -nan,0,0,500,500,139,sharing,10
100,-13968.1,-2883370.0,46.9229,-297.681,439,500,65.59,1,14,8.67377,25795,69.3886,34.9022,22,73,113,6.1622, -nan,0,0, -nan,0,0, -nan,0,0,500,500,139,sharing,10
110,-23109.1,-3808310.0,62.1667,-371.72900000000004,440,500,73.186,1,14,8.68577,29593,72.3709,37.8734,30,69,124,6.28688, -nan,0,0, -nan,0,0, -nan,0,0,500,500,139,sharing,10
120,-35008.7,-3974970.0,54.8333,-638.456,433,500,80.89,1,14,8.6545,33445,75.3354,40.1367,22,102,123,6.23203, -nan,0,0, -nan,0,0, -nan,0,0,500,500,139,sharing,10
